study_id,doi,pdf_filename
S001,10.1002/mp.12480,10.1002_mp.12480.pdf
S002,10.1002/mp.13300,10.1002_mp.13300.pdf
S003,10.1002/mp.13438,10.1002_mp.13438.pdf
S004,10.1002/mp.13950,10.1002_mp.13950.pdf
S005,10.1002/mp.14386,10.1002_mp.14386.pdf
S006,10.1002/mp.14422,10.1002_mp.14422.pdf
S007,10.1002/mp.15507,10.1002_mp.15507.pdf
S008,10.1007/978-3-030-00937-3_49,10.1007_978-3-030-00937-3_49.pdf
S009,10.1007/s00330-020-07608-9,10.1007_s00330-020-07608-9.pdf
S010,10.1016/j.compmedimag.2018.03.001,10.1016_j.compmedimag.2018.03.001.pdf
S011,10.1016/j.imu.2020.100357,10.1016_j.imu.2020.100357.pdf
S012,10.1038/s41598-019-40584-9,10.1038_s41598-019-40584-9.pdf
S013,10.1038/s41598-020-63285-0,10.1038_s41598-020-63285-0.pdf
S014,10.1038/s41598-022-07848-3,10.1038_s41598-022-07848-3.pdf
S015,10.1088/1361-6560_aaf11c,10.1088_1361-6560_aaf11c.pdf
S016,10.1088/1361-6560_ab6f99,10.1088_1361-6560_ab6f99.pdf
S017,10.1109/ACCESS.2020.3024277,10.1109_ACCESS.2020.3024277.pdf
S018,10.1109/cvidliccea56201.2022.9823971,10.1109_cvidliccea56201.2022.9823971.pdf
S019,10.1109/ICIEAM48468.2020.9111950,10.1109_ICIEAM48468.2020.9111950.pdf
S020,10.1109/SPS.2019.8882073,10.1109_SPS.2019.8882073.pdf
S021,10.1109/TMI.2018.2806309,10.1109_TMI.2018.2806309.pdf
S022,10.1109/WRCSARA57040.2022.9903976,10.1109_WRCSARA57040.2022.9903976.pdf
S023,10.1186/s12880-025-02106-0,10.1186_s12880-025-02106-0.pdf
S024,10.1186/s13014-022-01985-9,10.1186_s13014-022-01985-9.pdf
S025,10.1186/s41747-024-00507-4,10.1186_s41747-024-00507-4.pdf
S026,10.3389/fonc.2018.00215,10.3389_fonc.2018.00215.pdf
S027,10.48550/arXiv.2309.09730,10.48550_arXiv.2309.09730.pdf
S028,10.48550/arXiv.2406.13674,10.48550_arXiv.2406.13674.pdf
S029,arXiv/1704.06382,arXiv_1704.06382.pdf
S030,arXiv/1809.04430,arXiv_1809.04430.pdf
S031,arXiv/1908.00360,arXiv_1908.00360.pdf
S032,http/__arxiv.org_abs_1707.08037v1,http___arxiv.org_abs_1707.08037v1.pdf
S033,http/__arxiv.org_abs_1710.05379v1,http___arxiv.org_abs_1710.05379v1.pdf
S034,http/__arxiv.org_abs_1801.05912v1,http___arxiv.org_abs_1801.05912v1.pdf
S035,http/__arxiv.org_abs_1809.00960v2,http___arxiv.org_abs_1809.00960v2.pdf
S036,http/__arxiv.org_abs_1809.02268v1,http___arxiv.org_abs_1809.02268v1.pdf
S037,http/__arxiv.org_abs_1811.11226v1,http___arxiv.org_abs_1811.11226v1.pdf
S038,http/__arxiv.org_abs_1909.06684v1,http___arxiv.org_abs_1909.06684v1.pdf
S039,http/__arxiv.org_abs_1909.07480v2,http___arxiv.org_abs_1909.07480v2.pdf
S040,http/__arxiv.org_abs_2001.09647v1,http___arxiv.org_abs_2001.09647v1.pdf
S041,http/__arxiv.org_abs_2003.07923v1,http___arxiv.org_abs_2003.07923v1.pdf
S042,http/__arxiv.org_abs_2009.09571v4,http___arxiv.org_abs_2009.09571v4.pdf
S043,http/__arxiv.org_abs_2105.02290v1,http___arxiv.org_abs_2105.02290v1.pdf
S044,http/__arxiv.org_abs_2105.14314v3,http___arxiv.org_abs_2105.14314v3.pdf
S045,http/__arxiv.org_abs_2108.06669v1,http___arxiv.org_abs_2108.06669v1.pdf
S046,http/__arxiv.org_abs_2109.12634v1,http___arxiv.org_abs_2109.12634v1.pdf
S047,http/__arxiv.org_abs_2203.01934v1,http___arxiv.org_abs_2203.01934v1.pdf
S048,http/__arxiv.org_abs_2208.13271v1,http___arxiv.org_abs_2208.13271v1.pdf
S049,http/__arxiv.org_abs_2210.04285v1,http___arxiv.org_abs_2210.04285v1.pdf
S050,http/__arxiv.org_abs_2302.00162v4,http___arxiv.org_abs_2302.00162v4.pdf
S051,http/__arxiv.org_abs_2302.13172v1,http___arxiv.org_abs_2302.13172v1.pdf
S052,http/__arxiv.org_abs_2309.13872v1,http___arxiv.org_abs_2309.13872v1.pdf
